id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
16206413231987421209,_oq7lg0AAAAJ,Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",uach,alumnos.uach.cl,17144,Geología Volcanología Geofísica Sismología 
16206413231987421209,dYeZp8QAAAAJ,Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de …",uach,uach.cl,13588,Ecosystem Services Climate Change Ecological Restoration 
16206413231987421209,kNhzzGIAAAAJ,JL Iriarte,Universidad Austral de Chile,uach,uach.cl,10230,biological oceanography phytoplankton ecology 
16206413231987421209,-41EoMIAAAAJ,Carlos D. Figueroa,"Profesor de Patología, Universidad Austral de Chile",uach,uach.cl,7799,Patología 
16206413231987421209,ZEDhbjAAAAAJ,Daniel Calderini,"Profesor Titular, Instituto de Produccion y Sanidad Vegetal, universidad Austral de Chile",uach,uach.cl,6987,Crop Physiology 
16206413231987421209,NEJdQnkAAAAJ,Guillermo D'Elía,Universidad Austral de Chile,uach,uach.cl,6255,Systematics Evolutionary Biology Mammalogy 
16206413231987421209,j9qpO4kAAAAJ,Jorge M. Navarro,Universidad Austral de Chile,uach,uach.cl,6061,Marine biology Ecophysiology 
16206413231987421209,Y2RA_vMAAAAJ,Humberto González Estay,"Universidad Austral de Chile, Instituto de Ciencias Marinas y Limnológicas",uach,uach.cl,5910,Biological Oceanography 
16206413231987421209,QXLQ_I4AAAAJ,Iván Gómez,Universidad Austral de Chile,uach,uach.cl,5847,Marine Biology Photobiology 
16206413231987421209,HuGpAU0AAAAJ,Susana Paula,Universidad Austral de Chile,uach,uach.cl,5471,Plant functional biology - Fire ecology - Stress … 
16206413231987421209,UUfZjBYAAAAJ,Daniel Melnick,Universidad Austral de Chile,uach,uach.cl,5233,Neotectonics Coastal Geomorphology Earthquake Geology Paleoseismology 
16206413231987421209,kYToqLcAAAAJ,Mario Pino,UNIVERSIDAD AUSTRAL DE CHILE,uach,uach.cl,5027,GEOARQUEOLOGIA SEDIMENTOLOGIA 
16206413231987421209,NCkYLRkAAAAJ,Laura Rodríguez N.,"Instituto de Arquitectura y Urbanismo, Universidad Austral de  Chile",uach,uach.cl,4825,Geografía cultural y teoría urbana 
16206413231987421209,Phqz2PYAAAAJ,Duncan A. Christie,"Instituto de Conservación Biodiversidad y Territorio (ICBTe), Universidad Austral de Chile …",uach,docentes.uach.c,4813,Paleoclimatology Environmental Sciences Forest Ecology 
16206413231987421209,yh3wtJUAAAAJ,Gonzalo A. Mardones,"Department of Physiology, School of Medicine, Universidad Austral de Chile",uach,uach.cl,4072,Membrane trafficking Structural Biology 
16206413231987421209,VfZDNC4AAAAJ,Mario J. Simirgiotis,"Universidad Austral de Chile,former Head of the Institute of Pharmacy, Full professor",uach,uach.cl,3982,química de productos naturales plant natural products metabolomics food chemistry phytochemistry 
16206413231987421209,m0aNArAAAAAJ,Roberto F Nespolo,Universidad Austral de Chile,uach,uach.cl,3886,Evolutionary Physiology Physiological Ecology 
16206413231987421209,n6sj03kAAAAJ,Laura Nahuelhual,Universidad Austral de Chile,uach,uach.cl,3862,Servicios ecosistémicos 
16206413231987421209,l1vYvMEAAAAJ,Francisco J. Rivera,Universidad Austral de Chile,uach,uach.cl,3848,Regenerative Medicine Remyelination Multiple Sclerosis Adult Stem Cells Vascular Niche 
