id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
17255630398072300451,IP0KMQwAAAAJ,José G. Fernández-Trincado,Universidad Católica del Norte (Chile),ucn,ucn.cl,9412,Astrophysics 
17255630398072300451,FgrbovAAAAAJ,Alfonso Urzúa,"Escuela de Psicología, Universidad Católica del Norte",ucn,ucn.cl,7714,Psicología de la Salud Psicología Calidad de Vida Bienestar Inmigración 
17255630398072300451,jI8ORYEAAAAJ,Alonso Vega Reyes,Programa de Doctorado Biologia y Ecologia Aplicada - Universidad Católica del Norte,ucn,ucn.cl,7307,Ecologia Conservación Evaluacion de Impacto Ambiental 
17255630398072300451,5kJLBzoAAAAJ,Guillermo Chong,"Doctor en Geología, Universidad Católica del Norte",ucn,ucn.cl,5762,Geología 
17255630398072300451,Q_FuTD8AAAAJ,Julio A Vásquez,"Prof. Titular Departamento de Biología Marina, Universidad Católica del Norte",ucn,ucn.cl,5583,ecología marina manejo conservación algas pardas 
17255630398072300451,ULIXRvMAAAAJ,Sarfaraz Hashemkhani Zolfani,"Associate Professor, School of Engineering, Universidad Catolica del Norte",ucn,ucn.cl,5503,MCDM Strategic Planning Fuzzy set theory Supply Chain Management Sustainability 
17255630398072300451,eV_Wqh4AAAAJ,Christian Moni Bidin,Universidad Católica del Norte,ucn,ucn.cl,4883,Galactic Archaeology 
17255630398072300451,L_JJ6V4AAAAJ,Javier Sellanes,"Professor, Universidad Catolica del Norte",ucn,ucn.cl,3643,deep sea ecology invertebrate taxonomy chemosynthetic fauna 
17255630398072300451,ySXqTIIAAAAJ,Gabino Garrido,"Académico, Farmacognosia, Fitoterapia y Fitofarmacologia, Universidad Católica del Norte",ucn,ucn.cl,3371,pharmacology pharmacognosy toxicology phytotherapy natural products 
17255630398072300451,3ZG-fAoAAAAJ,Gabriel Gonzalez L.,Universidad Católica del Norte,ucn,ucn.cl,3315,Seismotectoinics structural geology paleoseismology 
17255630398072300451,UxwSaNwAAAAJ,Guillermo Luna-Jorquera,"Universidad Católica del Norte, Centre for Ecology and Sustainable Management of …",ucn,ucn.cl,3236,Seabird ecology and conservation 
17255630398072300451,S6EqbJUAAAAJ,Wolfgang Stotz,Universidad Católica del Norte,ucn,ucn.cl,3209,ecologia marina pesquería artesanal 
17255630398072300451,GpOMN6UAAAAJ,Genly Leon,Academic at Universidad Católica del Norte,ucn,ucn.cl,3026,Dynamical systems Differential Equations Cosmology Mathematical physics 
17255630398072300451,ta-P6DkAAAAJ,Carlos F. Gaymer,"Profesor Asociado, Universidad Católica del Norte",ucn,ucn.cl,2774,Conservación marina ecología de … 
17255630398072300451,7B-fmIoAAAAJ,"Patricio E. Ramírez Correa, Ph.D.","Full Professor, Universidad Católica del Norte (Chile)",ucn,ucn.cl,2773,Information Systems Management Psychology Technology Adoption 
17255630398072300451,_2mJVnEAAAAJ,Cecilia Demergasso,Universidad Católica del Norte,ucn,ucn.cl,2658,Geomicrobiology of arid zones Biomining 
17255630398072300451,hPZ8Y6gAAAAJ,Pilar A. Haye,"Profesor Titular, Departamento de Biología Marina, UCN, Chile.",ucn,ucn.cl,2276,evolutionary genetics molecular ecology marine biogeography 
17255630398072300451,cY-A0aMAAAAJ,Fadia Tala,Universidad Católica del Norte,ucn,ucn.cl,2246,Marine botany ecophysiology reproduction 
17255630398072300451,WfHkpIkAAAAJ,Guillermo Armando Ronda-Pupo,"Universidad Católica del Norte, Chile",ucn,ucn.cl,2178,Research Assessment Scientific Collaboration Strategic Management 
17255630398072300451,JW0Xp60AAAAJ,Enzo Acuña,"Professor of Biological Oceanography, Universidad Catolica del Norte, Chile",ucn,ucn.cl,2114,Biological Oceanography Ichthyology Marine Resources Assessment 
17255630398072300451,ttDg5ycAAAAJ,Rodrigo Riquelme,"Profesor Asociado, Universidad Católica del Norte, Chile",ucn,ucn.cl,1981,earth-science geology geomorphology 
17255630398072300451,8qY2AFAAAAAJ,Katherina Brokordt,"CEAZA (Center for Advanced Studies in Arid Zones) - Universidad Catolica del Norte, Chile",ucn,ucn.cl,1923,Animal Physiology and Genetics 
17255630398072300451,eYImzwsAAAAJ,Anna Marcelina Wlodarczyk,"Profesora Asociada, Universidad Católica del Norte",ucn,ucn.cl,1900,social psychology |coping| intergroup … 
17255630398072300451,u22qo2oAAAAJ,Roberto A. Lineros,Universidad Católica del Norte,ucn,ucn.cl,1826,dark matter astroparticle physics 
17255630398072300451,JIZ7FH8AAAAJ,Monica Guzmán-González,Académica Escuela de Psicología Universidad Católica del Norte,ucn,ucn.cl,1628,Apego adulto relaciones de pareja perdón en relaciones cercanas ajuste al divorcio y la separación 
17255630398072300451,-jaNEe0AAAAJ,Claudio Coddou,Universidad Católica del Norte,ucn,ucn.cl,1604,señalización purinérgica 
17255630398072300451,rHf-mZMAAAAJ,Miguel Atienza,Universidad Católica del Norte,ucn,ucn.cl,1589,
