id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
12740943834737827853,eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",uct,alu.uct.cl,10846,Derecho Público (Constitucional y Penal) 
12740943834737827853,jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",uct,uct.cl,1835,Ecología acuática crustáceos / Aquatic Ecology crustaceans 
12740943834737827853,ki2cCE8AAAAJ,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",uct,uct.cl,1829,geografía física planificación territorial educación geográfica 
12740943834737827853,yxXZP4QAAAAJ,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",uct,uct.cl,1753,General Relativity Spacetime symmetries Black hole physics 
12740943834737827853,5zReziUAAAAJ,Angélica Casanova-Katny,Universidad Católica de Temuco,uct,uct.cl,1627,global climate change global warming antarctic plants moss lichens 
12740943834737827853,XZBjhB4AAAAJ,segundo quintriqueo millan,Universidad Católica de Temuco,uct,uct.cl,1490,Educación interculturalidad saberes indígenas investigación en educación 
12740943834737827853,qX4Yub8AAAAJ,Elias Gustavo Figueroa Villalobos,Universidad Católica de Temuco,uct,uct.cl,1450,Aquaculture 
12740943834737827853,QoYrIekAAAAJ,Alexis Caniuqueo-Vargas,Universidad Católica de Temuco,uct,uct.cl,1333,Neuromecánica Educación del Movimiento 
12740943834737827853,FPIiSGsAAAAJ,Daniel San Martín Cantero,Universidad Católica de Temuco,uct,uct.cl,1190,Teoría Fundamentada Socio-fenomenología Metodología Cualitativa Profesores principiantes vida cotidiana 
12740943834737827853,jdiLkBsAAAAJ,Pablo Letelier,"Precision Health Research Laboratory, Departamento de Procesos Diagnósticos y …",uct,uct.cl,952,epigenetics oncology 
12740943834737827853,A3LFev0AAAAJ,Gustavo Curaqueo Fuentes,Profesor Asistente. Universidad Católica de Temuco,uct,uct.cl,921,Soil Compost Agroecosystem Sustainability Mycorrhiza Biochar 
12740943834737827853,2v_BeBAAAAAJ,Juan Guillermo Mansilla Sepúlveda,"Profesor Investigador, Universidad Católica de Temuco",uct,uct.cl,915,Historia de la Educación Fenomenología Investigación Cualitativa Historia indígena Educación 
12740943834737827853,Xvn25u8AAAAJ,Paula Aguilera,"Researcher in Universidad Católica de Temuco, Chile",uct,uct.cl,864,Innovation Microbiological inoculants University Startups Technology transfer manager Biostimulants application in field ass 
12740943834737827853,ge68r8wAAAAJ,Gertrudis Payas,Profesora e investigadora (UCTemuco),uct,uct.cl,789,Historia de la traducción y la interpretación mediación lingüística Nueva España Chile Araucanía 
