id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
12216913016116922734,jyT8VE4AAAAJ,Jose L. Prieto,Universidad Diego Portales,udp,mail.udp.cl,25377,Astronomy 
12216913016116922734,TX3te0QAAAAJ,Jose Joaquin BRUNNER,"Professor,  Sociology of Education. UNESCO Chair, Universidad Diego Portales, Chile",udp,mail.udp.cl,21390,Higher education Political economy of education Policy and cultural analysis 
12216913016116922734,7Uy51X4AAAAJ,PAULA JOFRE PFEIL,assistant professor Nucleo Astronomia Universidad Diego Portales,udp,mail.udp.cl,14436,stellar and Galactic astrophysics 
12216913016116922734,4iRjwbMAAAAJ,Cristóbal Rovira Kaltwasser,"Professor, Universidad Diego Portales",udp,udp.cl,13652,comparative politics populism democracy 
12216913016116922734,4tuv9ZUAAAAJ,JORGE IGNACIO GONZÁLEZ LÓPEZ,Universidad Diego Portales,udp,mail.udp.cl,13584,Galaxy evolution Interstellar medium high redshift galaxies and data science 
12216913016116922734,cn9uqN4AAAAJ,Manuel Aravena,"Professor of Astrophysics, Universidad Diego Portales",udp,mail.udp.cl,11184,Galaxy formation Galaxy evolution Submillimeter galaxies ISM of galaxies 
12216913016116922734,TW5VlFsAAAAJ,ROBERTO J. ASSEF,Universidad Diego Portales,udp,mail.udp.cl,11023,Active Galactic Nuclei Galaxy Evolution 
12216913016116922734,Dt6e_E0AAAAJ,fernando zegers-hochschild,Emeritus professor University Diego Portales and Clinica las Condes,udp,udp.cl,9762,reproductive medicine 
12216913016116922734,n4SKkSAAAAAJ,LUCAS CIEZA,Universidad Diego Portales,udp,mail.udp.cl,8493,Astronomy 
12216913016116922734,f9Oj5nUAAAAJ,Alice Zurlo,Universidad Diego Portales,udp,mail.udp.cl,7509,Exoplanets 
12216913016116922734,9b8DoS8AAAAJ,Cristián Cox,"Professor, Universidad Diego Portales",udp,udp.cl,5899,Educational policies curriculum teacher education citizenship education 
12216913016116922734,eS_SYGMAAAAJ,Fanny Petermann-Rocha,Universidad Diego Portales,udp,udp.cl,3622,
12216913016116922734,cbdbtM0AAAAJ,Lorena Pérez-Floriano,Universidad Diego Portales,udp,udp.cl,3010,Organizational behavior organization studies cross-cultural management 
12216913016116922734,C6i7344AAAAJ,ALFREDO JOIGNANT,Universidad Diego Portales,udp,mail.udp.cl,2670,Political field public intellectuals political competence political elites politics of memory 
12216913016116922734,XrZEaYcAAAAJ,Jose Weinstein,profesor universidad diego portales Chile,udp,udp.cl,2656,liderazgo directivo politica docente mejora escolar 
12216913016116922734,AaCvn7oAAAAJ,Bin Yang (杨彬）,The Astronomy Nucleus at Universidad Diego Portales,udp,mail.udp.cl,2610,Solar system planet formation extreme AO spectroscopy and Astrobiology 
12216913016116922734,rC7E0W8AAAAJ,Gonzalo Muñoz,"Professor, Faculty of Education, Diego Portales University",udp,mail.udp.cl,2516,Política Educacional Liderazgo Escolar Mejoramiento Educativo 
12216913016116922734,NZXPbcsAAAAJ,Juan Montiel,Universidad Diego Portales,udp,udp.cl,2349,Brain development Brain Evolution Neurogenomics Neuropathology 
12216913016116922734,vcD3QfwAAAAJ,Rodrigo A Garrido,Universidad Diego Portales,udp,udp.cl,2279,Logistics Transportation Operations Research Econometrics 
12216913016116922734,DmWRYnEAAAAJ,Adrian P. Mundt,"Professor, Medical Faculty Universidad de Chile, Universidad Diego Portales",udp,mail.udp.cl,2221,Psychiatry 
12216913016116922734,9JegVHcAAAAJ,Evelyn Johnston,Universidad Diego Portales,udp,mail.udp.cl,2127,Galaxy evolution 
12216913016116922734,DIwDzUYAAAAJ,ALEMKA TOMICIC SUÑER,"Facultad de Psicología, Universidad Diego Portales",udp,mail.udp.cl,1979,
12216913016116922734,ckIjzZQAAAAJ,Claudio Fuentes,Universidad Diego Portales,udp,udp.cl,1962,reforma constitucional sistemas políticos democracia América Latina Chile 
12216913016116922734,0dJbD08AAAAJ,Mauricio Alfredo Duce Julio,Universidad Diego Portales,udp,mail.udp.cl,1928,Justicia penal proceso penal policía 
12216913016116922734,JD_X4KYAAAAJ,Carlos Meléndez,Universidad Diego Portales,udp,mail.udp.cl,1810,Political Science Comparative Politics Latin America Partisanship 
12216913016116922734,Ka7pywsAAAAJ,alejandro venegas,universidad diego portales,udp,udp.cl,1670,
12216913016116922734,r0EzJ_IAAAAJ,Javier Couso,"Professor of Law, Universidad Diego Portales",udp,udp.cl,1654,Law 
12216913016116922734,rFUqIdsAAAAJ,Antonio Stecher,"PROFESOR, FACULTAD DE PSICOLOGIA, UNIVERSIDAD DIEGO PORTALES",udp,udp.cl,1580,
12216913016116922734,n0UQqa4AAAAJ,Aldo Madariaga,"Escuela de Ciencia Política, Universidad Diego Portales",udp,mail.udp.cl,1422,Economía política comparada Economía política internacional Desarrollo 
12216913016116922734,Wbg5yB8AAAAJ,carlos pizarro,universidad diego portales,udp,udp.cl,1331,derecho civil responsabilidad civil contratos 
12216913016116922734,4L5fnNEAAAAJ,Monica M. Gerber,Universidad Diego Portales,udp,udp.cl,1274,Political psychology Social justice Legitimacy Intergroup violence Punitive attitudes 
12216913016116922734,CAH7H-gAAAAJ,Lidia Casas Becerra,"Prof. of Law, Universidad Diego Portales",udp,udp.cl,1259,gender discrimination violence against women reproductive rights administration of justice 
12216913016116922734,mR_wPscAAAAJ,Ignacio Jara,Universidad Diego Portales,udp,udp.cl,1240,Technology and Education 
