id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
8337597745079551909,hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,upla,upla.cl,1514,Ecologia Microbiana Biogeoquimica Oceanografia Microbiana 
8337597745079551909,2BTxUj4AAAAJ,Jean-Pierre Francois,"Departamento de Ciencias Geográficas, Universidad de Playa Ancha",upla,upla.cl,1459,Geografía Ambiental Ecología del Paisaje Paleoecología Palinología 
8337597745079551909,qUMntLgAAAAJ,Roberto Orellana,Universidad de Playa Ancha,upla,upla.cl,1287,Environmental Microbiology 
8337597745079551909,gQb_tFMAAAAJ,Jose Alejandro Gonzalez Campos,Universidad de Playa Ancha,upla,upla.cl,1263,Estadística Aplicada a la Educación y … 
8337597745079551909,tU0-kcwAAAAJ,Paulina Bahamonde,HUB Ambiental - Universidad de Playa Ancha,upla,upla.cl,1022,Ecotoxicology 
8337597745079551909,n1qKMYwAAAAJ,Miguel R. Guevara,"Cs. Department, Universidad de Playa Ancha",upla,upla.cl,973,web mining data science scientometrics online social networks 
8337597745079551909,ohz0wccAAAAJ,Claudio A. Sáez,Universidad de Playa Ancha,upla,upla.cl,923,ecotoxicology environmental biotechnology Climate Change ecology phycology 
8337597745079551909,vp8AanYAAAAJ,Jaime Alfredo Urzua Parra,"bioemcánica, universidad de santiago de chile -  universidad de playa ancha",upla,upla.cl,840,bioemcánica neurologia 
8337597745079551909,RSPoIt0AAAAJ,Alejandro Martín Madrid Villegas,"Academico, Departamento de Química, Universidad de Playa Ancha",upla,upla.cl,838,Productos Naturales y Síntesis Organica 
8337597745079551909,UBd6oewAAAAJ,Franklin Johnson Parejas,Universidad de Playa Ancha,upla,upla.cl,821,Optimization Constraint Programming Metaheuristics 
8337597745079551909,XjcDFw8AAAAJ,Marisol Belmonte,"LABMAI, Facultad de Ingeniería, Universidad de Playa Ancha",upla,upla.cl,641,Biotecnología ambiental tratamiento de residuos líquidos Ingeniería Ambiental 
8337597745079551909,zjtOL9EAAAAJ,Freddy Celis,Universidad de Playa Ancha,upla,upla.cl,492,Raman Spectroscopy plasmonic nanoparticles 
8337597745079551909,SApybyoAAAAJ,Claudia Carrasco Aguilar,Universidad de Playa Ancha,upla,upla.cl,486,Educación 
8337597745079551909,7gNGVmUAAAAJ,Freddy Saavedra,Universidad de Playa Ancha,upla,upla.cl,427,remote sensing snow wildfire vegetation 
8337597745079551909,LK7H0t4AAAAJ,Eduardo Cavieres Fernandez,"Centro de Estudios Avanzados, Universidad de Playa Ancha",upla,upla.cl,391,Education 
8337597745079551909,5FYj65EAAAAJ,Fabian Cabaluz,Universidad de Playa Ancha,upla,upla.cl,353,pedagogias críticas - teoría crítica … 
8337597745079551909,Mbzn2xcAAAAJ,Carlos Valle,Universidad de Playa Ancha,upla,upla.cl,315,Machine Learning Ensemble Learning Neural Networks 
8337597745079551909,dm0W1pwAAAAJ,Héctor A. Levipan,"Profesor Asociado, Universidad de Playa Ancha",upla,upla.cl,312,Microbiología 
8337597745079551909,C7CQiG0AAAAJ,Alexis Candia-Cáceres,"Centro de Estudios Avanzados, Universidad de Playa Ancha",upla,upla.cl,273,Literatura 
8337597745079551909,eO6VdggAAAAJ,Boris Villalobos Parada,Universidad de Playa Ancha,upla,upla.cl,255,Educación Inclusiva Estudios de la Discapacidad Convivencia Escolar 
8337597745079551909,9oV68QsAAAAJ,Maria Jacqueline Rojas Rios,"académica, Universidad de Playa Ancha",upla,upla.cl,240,educación superior acreditación institucional gestion 
8337597745079551909,VmwpZ0kAAAAJ,Andrés Maximiliano Tello,Universidad de Playa Ancha,upla,upla.cl,238,
8337597745079551909,SMkPVdgAAAAJ,Céline Lavergne,"HUB AMBIENTAL UPLA, LACER lab, Centro de Estudios Avanzados, Universidad de Playa …",upla,upla.cl,227,Microbial Ecology Ecotoxicology Biogeochemical cycles Antarctic science 
8337597745079551909,rh5fuC8AAAAJ,Eduardo Báez San Martín,"Profesor de fisiología del ejercicio, Universidad de Playa Ancha, Chile.",upla,upla.cl,227,
8337597745079551909,WUBNh6cAAAAJ,Macarena Trujillo Cristoffanini,"Universidad de Playa Ancha, Chile",upla,upla.cl,208,sociología del género teorías feministas violencia de género género y migraciones 
8337597745079551909,Dq9vvmUAAAAJ,Tomás Koch Ewertz,"Departamento de Estudios Territoriales y Diálogos Interculturales, Universidad de Playa …",upla,upla.cl,205,
8337597745079551909,F_-nBT8AAAAJ,Lastenia Ugalde Meza,Universidad de Playa Ancha,upla,upla.cl,203,Química Tecnología educativa suelo 
8337597745079551909,Txm8bTQAAAAJ,Sebastián Ortiz-Mallegas,"Facultad de Ciencias Sociales, Universidad de Playa Ancha",upla,upla.cl,197,Educación comparada participación política movimientos docentes políticas educativas investigación participativa 
8337597745079551909,l_prU30AAAAJ,Fernanda Jimena Rodríguez Rojas,Universidad de Playa Ancha,upla,upla.cl,196,Mecanismos de resistencia a estrés abiótico … 
8337597745079551909,nMlED5kAAAAJ,Leandro Torres Díaz,Universidad de Playa Ancha,upla,upla.cl,196,Molecular Cell Biology and Neurosciences Philosophy of Cognitive Scicences Academic Open Access 
8337597745079551909,couxS34AAAAJ,Daniuska González González,"Profesora Titular Universidad de Playa Ancha, Chile",upla,upla.cl,192,Literatura Hispanoamericana … Representaciones culturales de la violencia Estudios culturales 
8337597745079551909,Ob83dQ4AAAAJ,Felip Gascón,"Profesor de Periodismo, Universidad de Playa Ancha, Valparaíso-Chile",upla,upla.cl,189,epistemología de la comunicación comunicación intercultural comunicación y ciudad 
8337597745079551909,-SpTfowAAAAJ,Cecilia Andrea Rivera Castro,"Dpto de Cs y Geografía, Facultad de Ciencias Naturales y Exactas, Universidad de Playa …",upla,upla.cl,185,Química Ambiental Toxicología 
8337597745079551909,AiP_n0UAAAAJ,Eileen Karmy,"Departameto de Artes Integradas, Facultad de Arte, Universidad de Playa Ancha",upla,upla.cl,183,Musicology Sociology Labour History 
8337597745079551909,fD6-URcAAAAJ,Claudia Carrasco Aguilar,Universidad de Playa Ancha,upla,upla.cl,181,Políticas educativas convivencia escolar 
8337597745079551909,GqKemSsAAAAJ,Fernando Mandujano Bustamante,"Profesor, Universidad de Playa Ancha",upla,upla.cl,179,Cambio Social Cultura Teoría Social 
