id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
9225498103198054248,16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,usm,usm.cl,211468,High Energy and Nuclear Physics 
9225498103198054248,v_0SXv4AAAAJ,Raquel Pezoa,Universidad Técnica Federico Santa María,usm,usm.cl,173391,artificial intelligence machine learning computer vision image processing 
9225498103198054248,0FY9s_UAAAAJ,Ivan Schmidt,"Physics Professor (Emeritus), Universidad Tecnica Federico Santa Maria",usm,usm.cl,49820,Particle Physics 
9225498103198054248,X5xPjmkAAAAJ,Samir Kouro,Universidad Técnica Federico Santa María,usm,usm.cl,28159,Power Electronics Renewable Energy Multilevel Converters Wind Energy Electromobility 
9225498103198054248,k2mB7EkAAAAJ,Matthias R. Schreiber,Universidad Tecnica Federico Santa Maria,usm,usm.cl,17926,Astrophysics 
9225498103198054248,c9ql-BAAAAAJ,Marcelo A. Perez,Universidad Tecnica Federico Santa Maria,usm,usm.cl,15666,Power electronics multilevel converters smart grids 
9225498103198054248,3itZwbsAAAAJ,Patricio Cortes,"Universidad Tecnica Federico Santa Maria, Chile",usm,usm.cl,15399,Power Electronics Predictive Control 
9225498103198054248,Oa3Aze8AAAAJ,Ahmed El Alaoui,Universidad Tecnica Federico Santa Maria,usm,usm.cl,11262,Non-perturbative QCD Hadronization Nuclear medium effect Spin Physics Nucleon Structure 
9225498103198054248,-0gRNgsAAAAJ,Cesar Silva,"Departamento de Electrónica, Universidad Técnica Federico Santa María, Chile",usm,usm.cl,8682,AC motor drives digital control of power converters 
9225498103198054248,ImrRuDsAAAAJ,Pablo Lezana,Universidad Técnica Federico Santa Maria,usm,usm.cl,7458,
9225498103198054248,KsLLafwAAAAJ,Michael Seeger,Universidad Tecnica Federico Santa Maria,usm,usm.cl,5724,microbiology botechnology 
9225498103198054248,_6PE3GsAAAAJ,Marcelo A. Soto,"Associate Professor, Department of Electronics Engineering, Universidad Técnica Federico …",usm,usm.cl,4957,Optical fiber sensors Optical amplification Nonlinear fiber optics 
9225498103198054248,fmh3SNcAAAAJ,Aleksey E. Kuznetsov,"Assistant Professor, Department of Chemistry, Universidad Tecnica Federico Santa Maria …",usm,usm.cl,4808,Computational chemistry tetrapyrroles graphenes anticorrosive coatings organometallic compounds 
9225498103198054248,uOC2s1AAAAAJ,Henrik Hansen,Universidad Tecnica Federico Santa Maria,usm,usm.cl,4431,Jorderensning tungmetalfjernelse adsorption electrocoagulation electrodialyse 
9225498103198054248,mYWIQd4AAAAJ,Patricio Vargas,"Professor of Theoretical Physics, Universidad Tecnica Federico Santa Maria",usm,usm.cl,4088,Quantum physics Magnetism Image processing 
9225498103198054248,Fe48yUYAAAAJ,Ricardo Simpson,Universidad Técnica Federico Santa María,usm,usm.cl,3674,Food Processing/Engineering 
9225498103198054248,F7-FI08AAAAJ,Vladimir Juričić,UTFSM & NORDITA,usm,usm.cl,3518,Condensed Matter Theory Topological Quantum Matter Quantum Criticality 
9225498103198054248,v_u2SesAAAAJ,Pedro Landeros,"Departamento de Física, Universidad Técnica Federico Santa María, Chile",usm,usm.cl,3371,Condensed Matter Physics Magnetism Spintronics Magnonics Nanomagnetism 
9225498103198054248,T6e3MokAAAAJ,Juan Yianatos,Universidad Técnica Federico Santa María,usm,usm.cl,3266,Flotación Procesamiento de Minerales 
9225498103198054248,mfnr2oEAAAAJ,Juan I. Yuz,Universidad Tecnica Federico Santa Maria,usm,usm.cl,2969,Electronic Engineering Automatic Control System Identification 
9225498103198054248,Q1os61kAAAAJ,Monica Pacheco,"Professor of Theoretical Physics, Universidad Tecnica Federico Santa Maria",usm,usm.cl,2928,Nanostructures: optical and transport … 
9225498103198054248,3OCgG7wAAAAJ,Pedro Orellana,Universidad Técnica Federico Santa Maria,usm,usm.cl,2746,Condensed Matter Physics 
9225498103198054248,onKbDaIAAAAJ,Margarita Norambuena,"Research-Professor, Universidad Tecnica Federico Santa Maria",usm,usm.cl,2655,power electronics 
9225498103198054248,Ihz46DUAAAAJ,Andres Donoso-Bravo,Universidad Técnica Federico Santa María,usm,usm.cl,2586,
9225498103198054248,SWifA9sAAAAJ,Alexander Quaas,"Full professor, Math. Dep., UTFSM",usm,usm.cl,2533,Nonlinear Analysis PDE Partial Differential Equations Nonlocal Operators 
9225498103198054248,Vj4mHpEAAAAJ,Matías Zañartu,"Department of Electronic Engineering, Universidad Técnica Federico Santa María",usm,usm.cl,2291,Voice Production Speech Science Voice Disorders Acoustic Signal Processing Biomedical Engineering 
9225498103198054248,1vhDro8AAAAJ,Werner Kristjanpoller,Universidad Técnica Federico Santa María,usm,usm.cl,2216,Finance Econometrics 
9225498103198054248,2YCiYHEAAAAJ,Sergio Almonacid,"UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA, Departamento de Ingeniería Química …",usm,usm.cl,2171,Food processing/Sustainable engineering 
9225498103198054248,32ekRVMAAAAJ,Hernan Astudillo,UTFSM,usm,usm.cl,2094,Software Architecture Heritage Computing 
9225498103198054248,VjmgcGIAAAAJ,Claudio Eduardo Aguilar Ramírez,Universidad Técnica Federico Santa Maria,usm,usm.cl,1992,Advanced materials Metallurgy Powder Metallurgy Thermodynamics Ti-based alloys 
9225498103198054248,Y7-gCmAAAAAJ,Andres Fuentes,Universidad Técnica Federico Santa María,usm,usm.cl,1975,Energy Conversion Combustion Fire Engineering Microgravity 
9225498103198054248,wSXnYFYAAAAJ,Juan C. Agüero,Universidad Tecnica Federico Santa Maria (Chile),usm,usm.cl,1953,System Identification Control Automatic Control Statistical Signal Processing 
9225498103198054248,0LgnrDEAAAAJ,Patricio A. Catalan,Universidad Tecnica Federico Santa Maria,usm,usm.cl,1918,tsunamis nearshore processes 
9225498103198054248,bH_VKagAAAAJ,Odette Toloza,universidad Técnica Federico Santa Maria,usm,usm.cl,1788,white dwarfs 
9225498103198054248,Q2P4D4wAAAAJ,Francisco Cereceda-Balic,Professor Universidad Tecnica Federico Santa Maria,usm,usm.cl,1722,Environment pollution chemistry atmosphere soil 
9225498103198054248,sCxmQKQAAAAJ,Roger Rodrigo Galindo Orjuela,"Ph.D student, Universidad Tecnica Federico Santa Maria",usm,sansan,1691,Experimental High Energy Physics Neutrino Physics Physics Education 
9225498103198054248,Y12762cAAAAJ,N. Pugazhenthiran,"Assistant Professor, Department of Chemistry, Universidad Técnica Federico Santa María …",usm,usm.cl,1436,Photocatalysis Waste water treatment Capacitive deionization Green synthesis of metal nanoparticles Photovoltaics and Antimi 
9225498103198054248,5gyHl_kAAAAJ,Ioannis Vourkas,"Universidad Técnica Federico Santa María, Valparaíso, Chile",usm,usm.cl,1429,Nanoelectronics Memristor Resistive Switching Devices Resistive RAM Cellular Automata 
9225498103198054248,IF7pW-IAAAAJ,Mauricio Osses,"Profesor de Ingeniería Mecánica, Universidad Técnica Federico Santa María",usm,usm.cl,1421,emisiones vehiculares 
9225498103198054248,2m8bkeEAAAAJ,Carlos Buil Aranda,Universidad Técnica Federico Santa María (Chile),usm,inf.ut,1370,graph databases semantic web 
9225498103198054248,T7VDAw4AAAAJ,Enrique Otarola,Universidad Tecnica Federico Santa Maria,usm,usm.cl,1322,Numerical Analysis Finite Element Methods Fractional Diffusion Optimal Control 
9225498103198054248,U_9AGB0AAAAJ,Mario Toledo Torres,"Departamento de Ingeniería Mecánica, Universidad Técnica Federico Santa María",usm,usm.cl,1300,Combustion Hydrogen Syngas Solar Fuels 
9225498103198054248,V9BgXgMAAAAJ,Maria Cristina Riff,Universidad Técnica Federico Santa María,usm,inf.ut,1281,Evolutionary Algorithms Metaheuristics Combinatorial Optimisation Real-world Problems Augmented Intelligence 
9225498103198054248,D5AezWkAAAAJ,Marat Siddikov,Universidad Técnica Federico Santa María,usm,usm.cl,1274,High Energy Physics 
9225498103198054248,3MsFGHcAAAAJ,Esteban Gil,Universidad Técnica Federico Santa María,usm,usm.cl,1230,Power Systems Renewable Energy Probabilistic Methods Optimization 
9225498103198054248,k2oQ2A4AAAAJ,Carlos Garcia Garcia,"Universidad Tecnica Federico Santa Maria, Department of Physics, Chile",usm,usm.cl,1226,Solid State Physics nanotechnology 
9225498103198054248,FrKvNOYAAAAJ,Cristian Ramirez,"Académico, Universidad Tecnica Federico Santa María",usm,usm.cl,1205,food science and technology 
9225498103198054248,BQcTIkIAAAAJ,Beatriz Camara,Universidad Tecnica Federico Santa Maria,usm,usm.cl,1182,microbiology 
9225498103198054248,boA_ngoAAAAJ,Hugues Renaudineau,Universidad Técnica Federico Santa María,usm,usm.cl,1162,Power Electronics Renewable Energies 
9225498103198054248,iV8ZDF0AAAAJ,Rodolfo Feick,Universidad Tecnica Federico Santa Maria,usm,usm.cl,1127,Wireless Communications 
9225498103198054248,AxG8_toAAAAJ,Jhon W. González,"Universidad Técnica Federico Santa María, Valparaiso-Chile",usm,usm.cl,1110,2D materials Magnetic Clusters Materials Science Structure Prediction Noncollinear Magnetism 
9225498103198054248,-Fkz0PwAAAAJ,Andrés Mora,"Assistant Professor, Electrical Engineering Department, Universidad Técnica Federico …",usm,usm.cl,1100,Electrical Drives Power Converters and Renewable Energy … 
9225498103198054248,YLin4W4AAAAJ,Luis M. Briceño-Arias,Universidad Técnica Federico Santa María,usm,usm.cl,1079,
